chart_rank,artist_names,track_name,source_of,peak_rank,previous_rank,days_on_chart,streams
155,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,15,129,131,1334020
156,Frank Ocean,Pink + White,Boys Don't Cry,52,148,670,1321139
157,"Tito Double P, Peso Pluma",DOS DÍAS,2024 Double P Records,24,184,222,1320387
158,Rihanna,Breakin' Dishes,Def Jam Recordings,85,142,103,1320147
159,Ed Sheeran,Photograph,Atlantic Records UK,40,135,1261,1316048
160,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,31,165,455,1307824
161,"Los Dareyes De La Sierra, Tito Double P",Vita Fer,Double P Records,161,173,4,1307717
162,Evanescence,Bring Me To Life,The Bicycle Music Company,123,175,10,1297319
163,Coldplay,Sparks,Parlophone UK,82,186,234,1290513
164,Nirvana,Smells Like Teen Spirit,Geffen,92,167,683,1289415
165,Tyla,PUSH 2 START,FAX Records/Epic,52,-1,83,1286845
166,Tito Double P,ROSONES,Double P Records,16,162,124,1284616
167,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,138,579,1277816
168,Chappell Roan,The Giver,Chappell Roan PS/ Island,9,168,26,1276534
169,"Victor Valverde, JR Torres",El Mayor De Los Ranas,Vim Music,88,153,46,1275378
170,Tito Double P,NADIE,Double P Records,32,155,138,1269839
171,Teddy Swims,The Door,Warner Records,88,130,207,1268663
172,TOTO,Africa,Columbia,113,-1,585,1267262
173,"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman),BigXthaPlug under exclusive license to UnitedMasters LLC,69,149,5,1267201
174,"Chuyin, Fuerza Regida, Jorsshh, Calle 24",Pika Pika,Street Mob Records,71,166,64,1264085
175,"Kushagra, Bharath, Saaheal",Finding Her,EYP Creations,175,-1,1,1261870
176,"LISA, Doja Cat, RAYE",Born Again (feat. Doja Cat & RAYE),Lloud Co./RCA Records,6,-1,56,1258207
177,Kendrick Lamar,HUMBLE.,Aftermath,1,174,780,1256936
178,Lady Gaga,Poker Face,Interscope,93,164,75,1256762
179,Leon Thomas,MUTT,EZMNY Records/Motown Records,172,172,4,1252012
180,Faris Adam,Stecu Stecu,Netrilis Music,180,-1,1,1251923
181,Lana Del Rey,Young And Beautiful,Polydor Records,120,-1,72,1250881
182,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,2,176,1377,1248915
183,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,3,152,241,1248602
184,Eminem,Without Me,Aftermath,29,180,1281,1241571
185,Ariana Grande,warm,Ariana Grande LP6,20,181,12,1236619
186,Myles Smith,Stargazing,RCA Records Label,14,-1,277,1234773
187,FloyyMenor,PELIGROSA,FloyyMenor under exclusive license to UnitedMasters LLC,23,171,220,1230179
188,Esau Ortiz,Triple Lavada,Sony Music Latin,188,-1,1,1229053
189,Katy Perry,Last Friday Night (T.G.I.F.),Capitol Records,189,-1,2,1222038
190,SZA,Saturn,Top Dawg Entertainment/RCA Records,12,-1,340,1220518
191,TV Girl,Lovers Rock,TV Girl,92,182,585,1219318
192,Ruth B.,Dandelions,Columbia,32,193,1189,1218943
193,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,91,178,952,1217861
194,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),Epic,63,179,182,1215527
195,"Selena Gomez, benny blanco",How Does It Feel To Be Forgotten,SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records,103,177,12,1208636
196,Coldplay,Adventure of a Lifetime,Parlophone UK,187,-1,4,1207407
197,The Weeknd,Cry For Me,XO / Republic Records,5,189,66,1206298
198,Lana Del Rey,Summertime Sadness,Polydor Records,74,-1,835,1206102
199,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,17,191,174,1204162
200,"BLOK3, Ati242",Keşke,Lais Records,58,170,11,1201237
